ID,Case Number,Date,Block,IUCR,Primary Type,Description,Location Description,Arrest,Domestic,Beat,District,Ward,Community Area,FBI Code,X Coordinate,Y Coordinate,Year,Updated On,Latitude,Longitude,Location
8019764,HT249192,04/14/2011 08:00:00 AM,030XX N ELBRIDGE AVE,0910,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,false,false,1412,014,35,21,07,1152179,1919856,2011,02/04/2016 06:33:39 AM,41.935954087,-87.71614178,"(41.935954087, -87.71614178)"
8019765,HT250780,04/14/2011 11:30:00 PM,022XX N CAMPBELL AVE,0910,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,false,false,1431,014,1,22,07,1159520,1914779,2011,02/04/2016 06:33:39 AM,41.921874258,-87.689303072,"(41.921874258, -87.689303072)"
8019766,HT250743,04/14/2011 11:00:00 PM,058XX W ROOSEVELT RD,0810,THEFT,OVER $500,RESTAURANT,false,false,1513,015,29,25,06,1137465,1894082,2011,02/04/2016 06:33:39 AM,41.865505001,-87.770838758,"(41.865505001, -87.770838758)"
8019767,HT250810,04/15/2011 09:10:00 AM,012XX N CALIFORNIA AVE,0820,THEFT,$500 AND UNDER,PARK PROPERTY,false,false,1423,014,26,24,06,1157503,1908104,2011,02/04/2016 06:33:39 AM,41.903598849,-87.696896092,"(41.903598849, -87.696896092)"
8019774,HT250825,04/15/2011 10:00:00 AM,005XX N HAMLIN AVE,0486,BATTERY,DOMESTIC BATTERY SIMPLE,RESIDENCE,false,true,1122,011,27,23,08B,1150960,1903329,2011,02/04/2016 06:33:39 AM,41.89062646,-87.721055336,"(41.89062646, -87.721055336)"
8019775,HT250840,10/01/2010 12:00:00 PM,046XX W MONROE ST,0840,THEFT,FINANCIAL ID THEFT: OVER $300,RESIDENCE,false,false,1113,011,28,25,06,1145420,1899160,2010,02/04/2016 06:33:39 AM,41.879292913,-87.741506691,"(41.879292913, -87.741506691)"
8019776,HT250846,04/14/2011 02:00:00 PM,105XX S EWING AVE,0890,THEFT,FROM BUILDING,MEDICAL/DENTAL OFFICE,false,false,0432,004,10,52,06,1202173,1835737,2011,02/04/2016 06:33:39 AM,41.703994634,-87.535284732,"(41.703994634, -87.535284732)"
8019778,HT250711,04/15/2011 07:30:00 AM,055XX W MONROE ST,0496,BATTERY,AGGRAVATED DOMESTIC BATTERY: KNIFE/CUTTING INST,APARTMENT,true,false,1522,015,29,25,04B,1139630,1899116,2011,02/04/2016 06:33:39 AM,41.879279766,-87.762767982,"(41.879279766, -87.762767982)"
8019779,HT250730,04/14/2011 05:15:00 PM,028XX E 94TH ST,0890,THEFT,FROM BUILDING,RESIDENTIAL YARD (FRONT/BACK),false,false,0423,004,10,48,06,1196771,1843184,2011,02/04/2016 06:33:39 AM,41.724565552,-87.554818871,"(41.724565552, -87.554818871)"
8019780,HT250832,04/15/2011 10:10:00 AM,025XX W 81ST ST,0486,BATTERY,DOMESTIC BATTERY SIMPLE,RESIDENCE,false,true,0835,008,18,70,08B,1160623,1850840,2011,02/04/2016 06:33:39 AM,41.74639565,-87.687017961,"(41.74639565, -87.687017961)"
8019783,HT250818,04/12/2011 06:02:00 PM,050XX N SHERIDAN RD,1110,DECEPTIVE PRACTICE,BOGUS CHECK,RESIDENCE,false,false,2024,020,46,3,11,1168713,1934093,2011,02/04/2016 06:33:39 AM,41.974678235,-87.654963918,"(41.974678235, -87.654963918)"
8019789,HT250842,04/14/2011 06:00:00 PM,073XX W SUMMERDALE AVE,1320,CRIMINAL DAMAGE,TO VEHICLE,STREET,false,false,1613,016,41,10,14,1126391,1934642,2011,02/04/2016 06:33:39 AM,41.976998904,-87.810585107,"(41.976998904, -87.810585107)"
8019792,HT250848,04/15/2011 10:20:00 AM,072XX W TOUHY AVE,0890,THEFT,FROM BUILDING,SMALL RETAIL STORE,false,false,1611,016,41,9,06,1127304,1947297,2011,02/04/2016 06:33:39 AM,42.011710089,-87.806941453,"(42.011710089, -87.806941453)"
8019796,HT192837,03/07/2011 06:35:00 PM,036XX W LEXINGTON ST,2024,NARCOTICS,POSS: HEROIN(WHITE),SIDEWALK,true,false,1133,011,24,27,18,1152230,1896453,2011,02/04/2016 06:33:39 AM,41.871733025,-87.716572725,"(41.871733025, -87.716572725)"
8019800,HT250785,04/15/2011 09:30:00 AM,005XX E 51ST ST,0460,BATTERY,SIMPLE,HOSPITAL BUILDING/GROUNDS,false,false,0223,002,3,38,08B,1180467,1871309,2011,02/04/2016 06:33:39 AM,41.802132606,-87.613677631,"(41.802132606, -87.613677631)"
8019824,HT250849,04/11/2011 12:00:00 AM,082XX S CALUMET AVE,0890,THEFT,FROM BUILDING,RESIDENTIAL YARD (FRONT/BACK),false,false,0631,006,6,44,06,1179907,1850385,2011,02/04/2016 06:33:39 AM,41.744727875,-87.616371084,"(41.744727875, -87.616371084)"
8019825,HT247878,04/12/2011 08:00:00 PM,050XX W NELSON ST,0820,THEFT,$500 AND UNDER,STREET,false,false,2521,025,31,19,06,1142321,1919811,2011,02/04/2016 06:33:39 AM,41.936019635,-87.752372277,"(41.936019635, -87.752372277)"
8019828,HT237790,04/06/2011 07:52:21 PM,064XX S ELLIS AVE,2024,NARCOTICS,POSS: HEROIN(WHITE),RESIDENCE,true,false,0314,003,20,42,18,1184164,1862486,2011,02/04/2016 06:33:39 AM,41.777835813,-87.600395232,"(41.777835813, -87.600395232)"
8019836,HT193043,03/07/2011 09:30:00 PM,040XX W WILCOX ST,2027,NARCOTICS,POSS: CRACK,SIDEWALK,true,false,1115,011,28,26,18,1149516,1899031,2011,02/04/2016 06:33:39 AM,41.87886043,-87.726470068,"(41.87886043, -87.726470068)"
8019845,HT250875,04/15/2011 10:23:00 AM,049XX N MARMORA AVE,0890,THEFT,FROM BUILDING,RESIDENCE-GARAGE,false,false,1622,016,45,11,06,1135850,1932492,2011,02/04/2016 06:33:39 AM,41.970935443,-87.775850985,"(41.970935443, -87.775850985)"
8019855,HT250765,04/15/2011 08:00:00 AM,130XX S BALTIMORE AVE,0560,ASSAULT,SIMPLE,RESIDENCE,false,false,0433,004,10,55,08A,1199090,1819027,2011,02/04/2016 06:33:39 AM,41.658218532,-87.547132212,"(41.658218532, -87.547132212)"
8019856,HT250876,04/09/2011 05:14:00 PM,0000X E MONROE ST,0890,THEFT,FROM BUILDING,APARTMENT,false,false,0123,001,42,32,06,1177024,1899949,2011,02/04/2016 06:33:39 AM,41.880801316,-87.625438715,"(41.880801316, -87.625438715)"
8019863,HT250909,04/01/2011 12:00:00 AM,100XX S STATE ST,1152,DECEPTIVE PRACTICE,ILLEGAL USE CASH CARD,RESIDENCE,false,false,0511,005,9,49,11,1178028,1838422,2011,02/04/2016 06:33:39 AM,41.711942632,-87.623617364,"(41.711942632, -87.623617364)"
8019865,HT250890,04/14/2011 02:33:00 PM,054XX S LAKE SHORE DR SB,2826,OTHER OFFENSE,HARASSMENT BY ELECTRONIC MEANS,APARTMENT,false,false,2132,002,5,41,26,1189871,1869232,2011,02/04/2016 06:33:39 AM,41.796211943,-87.579256667,"(41.796211943, -87.579256667)"
8019867,HT250907,04/15/2011 11:00:00 AM,048XX S DREXEL BLVD,2820,OTHER OFFENSE,TELEPHONE THREAT,APARTMENT,false,false,2124,002,4,39,26,1183133,1873130,2011,02/04/2016 06:33:39 AM,41.807067906,-87.603843747,"(41.807067906, -87.603843747)"
8019873,HT221074,03/26/2011 06:25:00 PM,002XX N KARLOV AVE,2024,NARCOTICS,POSS: HEROIN(WHITE),SIDEWALK,true,false,1114,011,28,26,18,1149017,1901248,2011,02/04/2016 06:33:39 AM,41.884953794,-87.728244921,"(41.884953794, -87.728244921)"
8019874,HT250913,04/14/2011 07:45:00 PM,001XX W ROOSEVELT RD,0820,THEFT,$500 AND UNDER,PARKING LOT/GARAGE(NON.RESID.),false,false,0131,001,2,32,06,1175232,1895031,2011,02/04/2016 06:33:39 AM,41.867346388,-87.632166244,"(41.867346388, -87.632166244)"
8019882,HT248877,04/13/2011 10:45:00 PM,035XX W LAWRENCE AVE,0930,MOTOR VEHICLE THEFT,THEFT/RECOVERY: AUTOMOBILE,STREET,true,false,1712,017,39,14,07,1151764,1931663,2011,02/04/2016 06:33:39 AM,41.968361539,-87.717355077,"(41.968361539, -87.717355077)"
8019892,HT226292,03/30/2011 01:32:46 PM,053XX S MAY ST,2024,NARCOTICS,POSS: HEROIN(WHITE),RESIDENCE,true,false,0934,009,16,61,18,1169559,1869383,2011,02/04/2016 06:33:39 AM,41.797091099,-87.653737432,"(41.797091099, -87.653737432)"
8019893,HT250689,04/14/2011 04:00:00 PM,044XX S SACRAMENTO AVE,0820,THEFT,$500 AND UNDER,,false,false,0912,009,14,58,06,1157105,1875090,2011,02/04/2016 06:33:39 AM,41.813012973,-87.699253615,"(41.813012973, -87.699253615)"
8019896,HT250924,03/20/2011 12:01:00 AM,070XX N WOLCOTT AVE,1150,DECEPTIVE PRACTICE,CREDIT CARD FRAUD,OTHER,false,false,2424,024,49,1,11,1162330,1946736,2011,02/04/2016 06:33:39 AM,42.009507337,-87.678080387,"(42.009507337, -87.678080387)"
8019898,HT250809,04/14/2011 09:00:00 PM,028XX E 94TH ST,0890,THEFT,FROM BUILDING,RESIDENTIAL YARD (FRONT/BACK),false,false,0423,004,10,48,06,1196765,1843184,2011,02/04/2016 06:33:39 AM,41.724565701,-87.554840848,"(41.724565701, -87.554840848)"
8019901,HT227731,03/31/2011 12:55:00 PM,131XX S INGLESIDE AVE,0530,ASSAULT,AGGRAVATED: OTHER DANG WEAPON,STREET,false,false,0533,005,9,54,04A,1184822,1818461,2011,02/04/2016 06:33:39 AM,41.657010614,-87.599358934,"(41.657010614, -87.599358934)"
8019903,HT250872,04/15/2011 10:30:00 AM,044XX W LAWRENCE AVE,0486,BATTERY,DOMESTIC BATTERY SIMPLE,OTHER,false,true,1722,017,45,16,08B,1145450,1931525,2011,02/04/2016 06:33:39 AM,41.968105076,-87.740575045,"(41.968105076, -87.740575045)"
8019904,HT250820,04/15/2011 09:25:00 AM,014XX W 72ND ST,1330,CRIMINAL TRESPASS,TO LAND,VACANT LOT/LAND,true,false,0734,007,17,67,26,1167654,1856992,2011,02/04/2016 06:33:39 AM,41.763129769,-87.661078532,"(41.763129769, -87.661078532)"
8019909,HT250766,04/15/2011 08:57:00 AM,057XX S MICHIGAN AVE,0486,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,true,true,0233,002,20,40,08B,1178139,1866901,2011,02/04/2016 06:33:39 AM,41.790089808,-87.622348992,"(41.790089808, -87.622348992)"
8019911,HT250789,04/15/2011 09:30:00 AM,075XX S HONORE ST,1195,DECEPTIVE PRACTICE,FINAN EXPLOIT-ELDERLY/DISABLED,RESIDENCE,false,true,0611,006,18,71,11,1165326,1854721,2011,02/04/2016 06:33:39 AM,41.756947439,-87.669675317,"(41.756947439, -87.669675317)"
8019912,HT250854,04/15/2011 01:00:00 AM,090XX S OGLESBY AVE,0890,THEFT,FROM BUILDING,RESIDENCE,false,false,0413,004,7,48,06,1193409,1845568,2011,02/04/2016 06:33:39 AM,41.731190244,-87.567055861,"(41.731190244, -87.567055861)"
8019913,HT244779,04/11/2011 12:50:00 PM,077XX S ESSEX AVE,1310,CRIMINAL DAMAGE,TO PROPERTY,RESIDENCE,false,false,0421,004,7,43,14,1194205,1854061,2011,02/04/2016 06:33:39 AM,41.754476264,-87.563861673,"(41.754476264, -87.563861673)"
8019914,HT250646,04/15/2011 07:10:00 AM,012XX W 73RD PL,1310,CRIMINAL DAMAGE,TO PROPERTY,RESIDENCE,false,true,0734,007,17,67,14,1169112,1856038,2011,02/04/2016 06:33:39 AM,41.760480477,-87.655762234,"(41.760480477, -87.655762234)"
8019915,HT249502,04/14/2011 12:15:00 PM,090XX S BRANDON AVE,041A,BATTERY,AGGRAVATED: HANDGUN,SIDEWALK,false,false,0424,004,10,46,04B,1198897,1845526,2011,02/04/2016 06:33:39 AM,41.730939162,-87.546953164,"(41.730939162, -87.546953164)"
8019917,HT250823,04/15/2011 10:00:00 AM,075XX S CONSTANCE AVE,1811,NARCOTICS,POSS: CANNABIS 30GMS OR LESS,"SCHOOL, PUBLIC, BUILDING",true,false,0414,004,8,43,18,1189845,1855357,2011,02/04/2016 06:33:39 AM,41.758138498,-87.579797849,"(41.758138498, -87.579797849)"
8019920,HT250887,04/15/2011 10:25:00 AM,042XX S LAKE PARK AVE,2024,NARCOTICS,POSS: HEROIN(WHITE),STREET,true,false,2123,002,4,36,18,1184374,1876879,2011,02/04/2016 06:33:39 AM,41.81732644,-87.599174734,"(41.81732644, -87.599174734)"
8019921,HT250627,04/14/2011 09:00:00 PM,064XX S GREEN ST,0810,THEFT,OVER $500,STREET,false,false,0723,007,16,68,06,1171746,1862071,2011,02/04/2016 06:33:39 AM,41.776978423,-87.645931834,"(41.776978423, -87.645931834)"
8019924,HT250833,04/15/2011 10:20:00 AM,081XX S VINCENNES AVE,0486,BATTERY,DOMESTIC BATTERY SIMPLE,RESIDENCE,false,true,0622,006,21,44,08B,1174721,1850953,2011,02/04/2016 06:33:39 AM,41.74640354,-87.635356317,"(41.74640354, -87.635356317)"
8019925,HT250814,04/13/2011 12:01:00 AM,008XX W 68TH ST,0610,BURGLARY,FORCIBLE ENTRY,CHURCH/SYNAGOGUE/PLACE OF WORSHIP,false,false,0723,007,17,68,05,1171722,1859757,2011,02/04/2016 06:33:39 AM,41.770629058,-87.646087606,"(41.770629058, -87.646087606)"
8019929,HT250829,04/08/2011 09:00:00 AM,070XX S SANGAMON ST,0610,BURGLARY,FORCIBLE ENTRY,RESIDENCE,false,false,0733,007,17,68,05,1171191,1858124,2011,02/04/2016 06:33:39 AM,41.766159533,-87.648081733,"(41.766159533, -87.648081733)"
8019930,HT250891,04/15/2011 11:00:00 AM,015XX W GARFIELD BLVD,2820,OTHER OFFENSE,TELEPHONE THREAT,GAS STATION,false,false,0713,007,16,67,26,1166837,1868115,2011,02/04/2016 06:33:39 AM,41.793670175,-87.663755557,"(41.793670175, -87.663755557)"
8019932,HT250847,04/12/2011 08:00:00 PM,016XX S HARDING AVE,0810,THEFT,OVER $500,RESIDENCE,false,false,1014,010,24,29,06,1150325,1891548,2011,02/04/2016 06:33:39 AM,41.858310477,-87.723694681,"(41.858310477, -87.723694681)"
8019935,HT250942,04/15/2011 10:30:00 AM,003XX N JEFFERSON ST,1320,CRIMINAL DAMAGE,TO VEHICLE,STREET,false,false,1212,012,42,28,14,1172268,1902412,2011,02/04/2016 06:33:39 AM,41.887666267,-87.64282944,"(41.887666267, -87.64282944)"